Gene	count	length	Bias	TPM_ModelBD
Os01g0100100	292.000000	2935.000000	0.345817	30.748959
Os01g0100200	0.000000	1127.000000	0.934450	0.000000
Os01g0100300	0.000000	810.000000	1.103862	0.000000
Os01g0100400	12.000000	2161.000000	0.529534	1.120817
Os01g0100466	4.000000	1074.000000	0.961386	0.414057
Os01g0100500	356.000000	2222.000000	0.511981	33.446783
Os01g0100600	271.000000	1960.000000	0.591769	24.972569
Os01g0100650	92.000000	564.000000	1.242215	14.035048
Os01g0100700	1039.000000	906.000000	1.050624	116.665325
Os01g0100800	258.000000	1522.000000	0.753531	24.043961
Os01g0100900	2915.000000	1869.000000	0.622295	267.876466
Os01g0101150	33.000000	2433.000000	0.455682	3.181352
Os01g0101175	17.000000	996.000000	1.002120	1.820422
Os01g0101200	172.000000	3166.000000	0.304853	19.047130
Os01g0101300	125.000000	1896.000000	0.613079	11.493637
Os01g0101600	492.000000	4365.000000	0.160639	74.994694
Os01g0101700	16.000000	879.000000	1.065458	1.825983
Os01g0101800	1.000000	2334.000000	0.481269	0.095151
Os01g0101850	0.000000	1555.000000	0.739981	0.000000
Os01g0101900	0.000000	346.000000	1.340326	0.000000
Os01g0102000	0.000000	1703.000000	0.682037	0.000000
Os01g0102300	23.000000	971.000000	1.015439	2.493198
Os01g0102400	0.000000	1517.000000	0.755604	0.000000
Os01g0102500	180.000000	1770.000000	0.657276	16.536879
Os01g0102600	133.000000	1126.000000	0.934953	13.502854
Os01g0102700	1046.000000	930.000000	1.037543	115.862945
Os01g0102800	222.000000	2990.000000	0.335571	23.648301
Os01g0102850	22.000000	752.000000	1.136563	2.751143
Os01g0102900	14495.000000	652.000000	1.193228	1991.356631
Os01g0103000	76.000000	1018.000000	0.990502	8.055867
Os01g0103050	15.000000	2487.000000	0.442315	1.457425
Os01g0103100	37.000000	1969.000000	0.588832	3.410883
Os01g0103075	41.000000	1700.000000	0.683166	3.773205
Os01g0103400	145.000000	640.000000	1.199995	20.179506
Os01g0103600	470.000000	3861.000000	0.209596	62.075185
