Gene	count	length	Bias	TPM_ModelBD
Os01g0100100	441.000000	2935.000000	0.324714	31.610837
Os01g0100200	1.000000	1127.000000	0.930505	0.065142
Os01g0100300	1.000000	810.000000	1.110902	0.075918
Os01g0100400	88.000000	2161.000000	0.509677	5.458072
Os01g0100466	24.000000	1074.000000	0.959017	1.591795
Os01g0100500	466.000000	2222.000000	0.491809	29.130762
Os01g0100600	469.000000	1960.000000	0.573315	28.512164
Os01g0100650	184.000000	564.000000	1.260571	17.679813
Os01g0100700	731.000000	906.000000	1.053929	52.297881
Os01g0100800	265.000000	1522.000000	0.740598	16.060358
Os01g0100900	767.000000	1869.000000	0.604684	46.362179
Os01g0101150	27.000000	2433.000000	0.434760	1.743728
Os01g0101175	12.000000	996.000000	1.002253	0.821204
Os01g0101200	3311.000000	3166.000000	0.284192	251.386811
Os01g0101300	292.000000	1896.000000	0.595203	17.676087
Os01g0101600	1273.000000	4365.000000	0.144541	137.835050
Os01g0101700	205.000000	879.000000	1.069776	14.892873
Os01g0101800	7.000000	2334.000000	0.460637	0.444779
Os01g0101850	3.000000	1555.000000	0.726490	0.181413
Os01g0101900	0.000000	346.000000	1.370458	0.000000
Os01g0102000	1.000000	1703.000000	0.666350	0.060199
Os01g0102300	690.000000	971.000000	1.016422	47.759753
Os01g0102400	7.000000	1517.000000	0.742758	0.424396
Os01g0102500	253.000000	1770.000000	0.640748	15.239340
Os01g0102600	1576.000000	1126.000000	0.931036	102.696961
Os01g0102700	320.000000	930.000000	1.039972	22.602264
Os01g0102800	207.000000	2990.000000	0.314549	15.035457
Os01g0102850	199.000000	752.000000	1.146044	15.773942
Os01g0102900	72456.000000	652.000000	1.207248	6288.347587
Os01g0103000	128.000000	1018.000000	0.989908	8.677086
Os01g0103050	40.000000	2487.000000	0.421275	2.608105
Os01g0103100	18.000000	1969.000000	0.570302	1.095036
Os01g0103075	24.000000	1700.000000	0.667519	1.444790
Os01g0103400	42.000000	640.000000	1.214588	3.691023
Os01g0103600	385.000000	3861.000000	0.191326	35.603477
Os01g0103650	15.000000	934.000000	1.037658	1.057296
Os01g0103700	37.000000	3481.000000	0.237273	3.060242
Os01g0103800	221.000000	2142.000000	0.515375	13.675890
Os01g0103900	3.000000	2194.000000	0.499931	0.186845
Os01g0104000	263.000000	2068.000000	0.538188	16.142760
Os01g0104100	826.000000	1642.000000	0.690528	49.765934
Os01g0104200	0.000000	1020.000000	0.988791	0.000000
Os01g0104350	143.000000	628.000000	1.221914	12.730398
Os01g0104400	2144.000000	1462.000000	0.766921	130.627136
Os01g0104500	0.000000	1491.000000	0.754089	0.000000
Os01g0104600	517.000000	2110.000000	0.525118	31.875531
Os01g0104800	424.000000	2106.000000	0.526349	26.130039
Os01g0104900	12.000000	1773.000000	0.639625	0.722859
Os01g0105300	0.000000	2456.000000	0.428963	0.000000
Os01g0105400	201.000000	1950.000000	0.576681	12.210467
Os01g0105700	6.000000	1506.000000	0.747532	0.364085
Os01g0105800	34.000000	835.000000	1.095905	2.538201
Os01g0105900	1491.000000	1548.000000	0.729461	90.200925
Os01g0106200	397.000000	942.000000	1.033040	27.869482
Os01g0106300	0.000000	1253.000000	0.865611	0.000000
Os01g0106400	51.000000	1206.000000	0.889340	3.248341
Os01g0106500	134.000000	964.000000	1.020416	9.305870
Os01g0106600	7.000000	1023.000000	0.987118	0.473543
Os01g0106700	823.000000	7341.000000	0.033664	227.503486
Os01g0106750	65.000000	338.000000	1.372920	9.568809
Os01g0106800	702.000000	721.000000	1.164976	57.094118
Os01g0106900	3861.000000	1899.000000	0.594158	233.764805
Os01g0107000	862.000000	1764.000000	0.643001	51.916259
Os01g0107400	12.000000	496.000000	1.300069	1.271275
Os01g0107700	22.000000	2031.000000	0.549972	1.345484
Os01g0107750	11.000000	1711.000000	0.663241	0.662182
Os01g0107801	0.000000	73.000000	0.834502	0.000000
Os01g0107900	2997.000000	2381.000000	0.448162	191.866421
Os01g0108000	377.000000	2581.000000	0.398814	25.020137
Os01g0108200	498.000000	2353.000000	0.455552	31.737731
Os01g0108400	2365.000000	772.000000	1.133879	184.566860
Os01g0108500	815.000000	1195.000000	0.894975	52.057717
Os01g0108600	583.000000	1287.000000	0.848801	36.457815
