Gene	count	length	Bias	TPM_ModelBD
Os01g0100100	148.000000	2935.000000	0.286971	12.638964
Os01g0100200	0.000000	1127.000000	0.925236	0.000000
Os01g0100300	0.000000	810.000000	1.117543	0.000000
Os01g0100400	5.000000	2161.000000	0.475370	0.350090
Os01g0100466	4.000000	1074.000000	0.955966	0.280227
Os01g0100500	355.000000	2222.000000	0.456791	25.157257
Os01g0100600	292.000000	1960.000000	0.542056	19.768740
Os01g0100650	89.000000	564.000000	1.265794	8.966942
Os01g0100700	870.000000	906.000000	1.057548	65.311146
Os01g0100800	167.000000	1522.000000	0.720314	10.956622
Os01g0100900	4221.000000	1869.000000	0.575193	282.415844
Os01g0101150	28.000000	2433.000000	0.397956	2.080066
Os01g0101175	14.000000	996.000000	1.002415	1.008597
Os01g0101200	145.000000	3166.000000	0.247128	13.330036
Os01g0101300	175.000000	1896.000000	0.565160	11.746935
Os01g0101600	511.000000	4365.000000	0.115855	72.680559
Os01g0101700	27.000000	879.000000	1.074336	2.056511
Os01g0101800	0.000000	2334.000000	0.424548	0.000000
Os01g0101850	0.000000	1555.000000	0.705156	0.000000
Os01g0101900	0.000000	346.000000	1.334163	0.000000
Os01g0102000	0.000000	1703.000000	0.640761	0.000000
Os01g0102300	21.000000	971.000000	1.017582	1.528718
Os01g0102400	0.000000	1517.000000	0.722636	0.000000
Os01g0102500	131.000000	1770.000000	0.613476	8.677551
Os01g0102600	42.000000	1126.000000	0.925809	2.897916
Os01g0102700	861.000000	930.000000	1.042710	63.863563
Os01g0102800	262.000000	2990.000000	0.276918	22.760129
Os01g0102850	4.000000	752.000000	1.153918	0.331561
Os01g0102900	1536.000000	652.000000	1.215423	139.415980
Os01g0103000	13.000000	1018.000000	0.989175	0.928579
Os01g0103050	6.000000	2487.000000	0.384167	0.451702
Os01g0103100	8.000000	1969.000000	0.538882	0.542309
Os01g0103075	10.000000	1700.000000	0.642009	0.659032
Os01g0103400	160.000000	640.000000	1.222580	14.708192
Os01g0103600	422.000000	3861.000000	0.158576	49.576029
Os01g0103650	22.000000	934.000000	1.040246	1.628682
Os01g0103700	43.000000	3481.000000	0.201851	4.401787
Os01g0103800	113.000000	2142.000000	0.481309	7.883718
Os01g0103900	18.000000	2194.000000	0.465227	1.268431
Os01g0104000	305.000000	2068.000000	0.505152	21.000226
Os01g0104100	548.000000	1642.000000	0.666603	36.011144
Os01g0104200	8.000000	1020.000000	0.987977	0.571005
Os01g0104350	37.000000	628.000000	1.229663	3.446295
Os01g0104400	373.000000	1462.000000	0.748638	24.512414
Os01g0104500	0.000000	1491.000000	0.734824	0.000000
Os01g0104600	295.000000	2110.000000	0.491480	20.461177
Os01g0104800	362.000000	2106.000000	0.492766	25.090322
Os01g0104900	5.000000	1773.000000	0.612280	0.331289
Os01g0105300	1.000000	2456.000000	0.392023	0.074706
Os01g0105400	115.000000	1950.000000	0.545604	7.774669
Os01g0105700	1.000000	1506.000000	0.727770	0.065626
Os01g0105800	19.000000	835.000000	1.101855	1.485385
Os01g0105900	282.000000	1548.000000	0.708347	18.498169
Os01g0106200	405.000000	942.000000	1.035325	29.869225
Os01g0106300	4.000000	1253.000000	0.855155	0.268510
Os01g0106400	172.000000	1206.000000	0.880791	11.646743
Os01g0106500	49.000000	964.000000	1.021850	3.577900
Os01g0106600	19.000000	1023.000000	0.986181	1.354621
Os01g0106700	474.000000	7341.000000	0.023584	196.926398
Os01g0106750	34.000000	338.000000	1.333166	5.427182
Os01g0106800	536.000000	721.000000	1.173236	45.576449
Os01g0106900	94.000000	1899.000000	0.564056	6.312146
Os01g0107000	263.000000	1764.000000	0.615873	17.412553
Os01g0107400	12.000000	496.000000	1.299482	1.339139
Os01g0107700	11.000000	2031.000000	0.517507	0.752771
Os01g0107750	6.000000	1711.000000	0.637443	0.395691
Os01g0107801	0.000000	73.000000	0.884008	0.000000
Os01g0107900	958.000000	2381.000000	0.411707	70.293302
Os01g0108000	442.000000	2581.000000	0.361307	34.092109
Os01g0108200	733.000000	2353.000000	0.419309	53.437253
Os01g0108400	14.000000	772.000000	1.141394	1.142804
Os01g0108500	1.000000	1195.000000	0.886879	0.067868
Os01g0108600	15.000000	1287.000000	0.836991	1.001586
Os01g0108700	0.000000	624.000000	1.232006	0.000000
Os01g0108800	0.000000	2372.000000	0.414136	0.000000
Os01g0109000	23.000000	1458.000000	0.750562	1.511751
Os01g0109201	62.000000	2049.000000	0.511460	4.255345
Os01g0109300	61.000000	1975.000000	0.536776	4.138719
Os01g0109366	0.000000	505.000000	1.295409	0.000000
Os01g0109432	3.000000	578.000000	1.258175	0.296721
