Gene	count	length	Bias	TPM_ModelBD
Os01g0100100	232.000000	2935.000000	0.305709	32.606176
Os01g0100200	0.000000	1127.000000	0.926057	0.000000
Os01g0100300	0.000000	810.000000	1.119835	0.000000
Os01g0100400	61.000000	2161.000000	0.490765	7.253191
Os01g0100466	27.000000	1074.000000	0.956304	3.315060
Os01g0100500	301.000000	2222.000000	0.472706	36.137612
Os01g0100600	273.000000	1960.000000	0.555371	31.626545
Os01g0100650	90.000000	564.000000	1.287948	15.624026
Os01g0100700	332.000000	906.000000	1.057946	43.679163
Os01g0100800	140.000000	1522.000000	0.727234	15.950238
Os01g0100900	583.000000	1869.000000	0.587377	66.968510
Os01g0101150	13.000000	2433.000000	0.415292	1.622467
Os01g0101175	12.000000	996.000000	1.002410	1.515669
Os01g0101200	1427.000000	3166.000000	0.265801	213.837493
Os01g0101300	131.000000	1896.000000	0.577692	15.082206
Os01g0101600	652.000000	4365.000000	0.130733	144.080748
Os01g0101700	120.000000	879.000000	1.075084	16.013195
Os01g0101800	1.000000	2334.000000	0.441287	0.122435
Os01g0101850	5.000000	1555.000000	0.712627	0.568991
Os01g0101900	0.000000	346.000000	1.430009	0.000000
Os01g0102000	0.000000	1703.000000	0.650593	0.000000
Os01g0102300	346.000000	971.000000	1.017588	44.158350
Os01g0102400	3.000000	1517.000000	0.729473	0.341865
Os01g0102500	149.000000	1770.000000	0.624300	17.003873
Os01g0102600	683.000000	1126.000000	0.926620	82.548405
Os01g0102700	212.000000	930.000000	1.042895	27.563870
Os01g0102800	148.000000	2990.000000	0.295674	21.110849
Os01g0102850	75.000000	752.000000	1.158443	10.856671
Os01g0102900	30842.000000	652.000000	1.226761	4862.537597
Os01g0103000	60.000000	1018.000000	0.989214	7.513478
Os01g0103050	19.000000	2487.000000	0.401778	2.397837
Os01g0103100	17.000000	1969.000000	0.552302	1.971309
Os01g0103075	13.000000	1700.000000	0.651796	1.479486
Os01g0103400	34.000000	640.000000	1.235072	5.424189
Os01g0103600	277.000000	3861.000000	0.175476	51.557211
Os01g0103650	7.000000	934.000000	1.040404	0.908400
Os01g0103700	26.000000	3481.000000	0.219948	4.282302
Os01g0103800	171.000000	2142.000000	0.496532	20.274825
Os01g0103900	2.000000	2194.000000	0.480910	0.239033
Os01g0104000	187.000000	2068.000000	0.519655	21.943390
Os01g0104100	453.000000	1642.000000	0.675487	51.503420
Os01g0104200	0.000000	1020.000000	0.988022	0.000000
Os01g0104350	57.000000	628.000000	1.243398	9.205193
Os01g0104400	1060.000000	1462.000000	0.754545	121.171685
Os01g0104500	0.000000	1491.000000	0.741222	0.000000
Os01g0104600	279.000000	2110.000000	0.506401	32.927242
Os01g0104800	275.000000	2106.000000	0.507648	32.436906
Os01g0104900	10.000000	1773.000000	0.623147	1.141375
Os01g0105300	0.000000	2456.000000	0.409480	0.000000
Os01g0105400	126.000000	1950.000000	0.558800	14.581675
Os01g0105700	1.000000	1506.000000	0.734421	0.114014
Os01g0105800	17.000000	835.000000	1.103466	2.326651
Os01g0105900	984.000000	1548.000000	0.715701	112.000570
Os01g0106200	196.000000	942.000000	1.035435	25.340212
Os01g0106300	1.000000	1253.000000	0.857630	0.117348
Os01g0106400	6.000000	1206.000000	0.882586	0.710845
Os01g0106500	72.000000	964.000000	1.021872	9.216941
Os01g0106600	7.000000	1023.000000	0.986236	0.874922
Os01g0106700	414.000000	7341.000000	0.028400	250.414897
Os01g0106750	26.000000	338.000000	1.434281	6.763172
Os01g0106800	322.000000	721.000000	1.179410	47.751125
Os01g0106900	2488.000000	1899.000000	0.576625	286.523060
Os01g0107000	438.000000	1764.000000	0.626611	49.969590
Os01g0107400	17.000000	496.000000	1.334992	3.237551
Os01g0107700	13.000000	2031.000000	0.531622	1.518302
Os01g0107750	11.000000	1711.000000	0.647397	1.252276
Os01g0107801	0.000000	73.000000	1.146938	0.000000
Os01g0107900	1485.000000	2381.000000	0.428745	183.440814
Os01g0108000	195.000000	2581.000000	0.379319	25.117122
Os01g0108200	324.000000	2353.000000	0.436173	39.810044
Os01g0108400	1959.000000	772.000000	1.145034	279.464472
Os01g0108500	727.000000	1195.000000	0.888524	86.342601
Os01g0108600	367.000000	1287.000000	0.839991	42.809587
Os01g0108700	1.000000	624.000000	1.246177	0.162167
Os01g0108800	7.000000	2372.000000	0.431118	0.863207
Os01g0109000	69.000000	1458.000000	0.756401	7.889825
Os01g0109201	292.000000	2049.000000	0.525766	34.180336
Os01g0109300	332.000000	1975.000000	0.550266	38.523567
Os01g0109366	0.000000	505.000000	1.328819	0.000000
Os01g0109432	4.000000	578.000000	1.278198	0.682750
Os01g0109500	0.000000	1226.000000	0.871885	0.000000
Os01g0109700	2645.000000	4570.000000	0.116216	628.014701
Os01g0109750	71.000000	975.000000	1.015147	9.045924
Os01g0110050	8.000000	1416.000000	0.776157	0.917921
Os01g0110100	73.000000	2766.000000	0.338811	9.822936
Os01g0110200	1.000000	970.000000	1.018199	0.127680
Os01g0110400	302.000000	1557.000000	0.711751	34.365133
Os01g0110500	63.000000	3082.000000	0.279646	9.217804
Os01g0110600	27.000000	1893.000000	0.578760	3.107727
Os01g0110700	3.000000	3414.000000	0.228954	0.483992
Os01g0110800	3.000000	1955.000000	0.557083	0.347362
Os01g0111000	2.000000	444.000000	1.370032	0.414614
Os01g0111100	38.000000	1119.000000	0.930567	4.601865
Os01g0111200	396.000000	2355.000000	0.435638	48.675089
Os01g0111300	1.000000	796.000000	1.129075	0.140311
Os01g0111400	227.000000	2663.000000	0.360782	29.794650
Os01g0111500	0.000000	1475.000000	0.748544	0.000000
Os01g0111600	0.000000	1036.000000	0.978530	0.000000
Os01g0111700	9.000000	945.000000	1.033577	1.161973
Os01g0111800	8.000000	673.000000	1.212264	1.236533
Os01g0111900	24.000000	1024.000000	0.985642	2.998612
Os01g0112000	0.000000	652.000000	1.226761	0.000000
Os01g0112050	7.000000	718.000000	1.181451	1.040605
Os01g0112100	29.000000	3691.000000	0.194063	5.105513
Os01g0112201	18.000000	1099.000000	0.941928	2.192730
Os01g0112300	76.000000	1977.000000	0.549589	8.820580
Os01g0112400	0.000000	1020.000000	0.988022	0.000000
Os01g0112500	97.000000	1435.000000	0.767159	11.111242
Os01g0112600	0.000000	574.000000	1.280985	0.000000
Os01g0112800	0.000000	3731.000000	0.189509	0.000000
Os01g0113000	0.000000	3726.000000	0.190072	0.000000
Os01g0113150	0.000000	2872.000000	0.317639	0.000000
Os01g0113200	40.000000	1944.000000	0.560868	4.626270
Os01g0113300	7.000000	2245.000000	0.466073	0.843637
Os01g0113325	12.000000	2086.000000	0.513932	1.411526
Os01g0113350	1.000000	2205.000000	0.477670	0.119727
Os01g0113400	4.000000	2815.000000	0.328848	0.544897
Os01g0113450	0.000000	2051.000000	0.525119	0.000000
Os01g0113500	1.000000	2542.000000	0.388477	0.127699
Os01g0113600	124.000000	2343.000000	0.438857	15.207376
Os01g0113650	119.000000	1991.000000	0.544873	13.832752
Os01g0113700	14.000000	2079.000000	0.516150	1.645225
Os01g0113750	5.000000	2091.000000	0.512354	0.588537
Os01g0113800	7.000000	2399.000000	0.424038	0.867742
Os01g0113900	20.000000	2192.000000	0.481502	2.389569
Os01g0113950	19.000000	1999.000000	0.542196	2.210611
Os01g0114000	0.000000	681.000000	1.206760	0.000000
Os01g0114050	0.000000	62.000000	1.154986	0.000000
Os01g0114100	363.000000	2239.000000	0.467794	43.704450
Os01g0114150	331.000000	2149.000000	0.494400	39.286321
Os01g0114200	99.000000	846.000000	1.096319	13.460335
Os01g0114300	463.000000	3392.000000	0.231995	74.195083
Os01g0114400	4.000000	1017.000000	0.989811	0.501089
Os01g0114402	12.000000	2024.000000	0.533917	1.400312
Os01g0114550	19.000000	2168.000000	0.488658	2.261608
Os01g0114600	58.000000	2088.000000	0.513300	6.824234
Os01g0114650	42.000000	1983.000000	0.547563	4.877764
Os01g0114700	18.000000	1963.000000	0.554346	2.085929
Os01g0114800	19.000000	1672.000000	0.663128	2.160965
Os01g0114900	1.000000	915.000000	1.052282	0.130971
Os01g0115100	23.000000	1402.000000	0.782853	2.642578
Os01g0115300	17.000000	1809.000000	0.609485	1.944354
Os01g0115200	4.000000	471.000000	1.351993	0.792123
Os01g0115500	0.000000	1020.000000	0.988022	0.000000
Os01g0115533	2.000000	2043.000000	0.527711	0.233934
Os01g0115566	1.000000	756.000000	1.155754	0.144325
Os01g0115600	781.000000	2004.000000	0.540530	90.920404
Os01g0115700	389.000000	1887.000000	0.580902	44.751007
Os01g0115725	376.000000	2122.000000	0.502677	44.450986
Os01g0115750	0.000000	2097.000000	0.510466	0.000000
Os01g0115752	2.000000	2131.000000	0.499902	0.236750
Os01g0115800	0.000000	2483.000000	0.402763	0.000000
Os01g0115950	0.000000	2007.000000	0.539533	0.000000
Os01g0116100	0.000000	601.000000	1.262177	0.000000
Os01g0115900	17.000000	3248.000000	0.252975	2.609053
Os01g0116000	0.000000	2078.000000	0.516468	0.000000
Os01g0116101	1.000000	2075.000000	0.517422	0.117453
Os01g0116200	5.000000	2282.000000	0.455601	0.606454
Os01g0116250	3.000000	1976.000000	0.549927	0.348143
Os01g0116300	28.000000	2032.000000	0.531295	3.270593
Os01g0116400	166.000000	2275.000000	0.457564	20.109580
Os01g0116650	145.000000	2159.000000	0.491369	17.235957
Os01g0116900	45.000000	1548.000000	0.715701	5.121977
Os01g0116600	160.000000	2245.000000	0.466073	19.283131
Os01g0116800	17.000000	1131.000000	0.923810	2.051784
Os01g0116901	24.000000	2026.000000	0.533261	2.801304
Os01g0117000	55.000000	2223.000000	0.472415	6.604305
Os01g0117025	58.000000	2027.000000	0.532933	6.770645
Os01g0117050	1.000000	639.000000	1.235765	0.159695
Os01g0117100	1.000000	1467.000000	0.752232	0.114274
Os01g0117200	0.000000	2341.000000	0.439396	0.000000
Os01g0117233	0.000000	1128.000000	0.925495	0.000000
Os01g0117266	0.000000	453.000000	1.364064	0.000000
Os01g0117300	0.000000	1309.000000	0.828761	0.000000
Os01g0117400	4.000000	624.000000	1.246177	0.648670
Os01g0117450	5.000000	2085.000000	0.514249	0.588056
Os01g0117500	0.000000	1886.000000	0.581260	0.000000
Os01g0117600	0.000000	2358.000000	0.434837	0.000000
Os01g0117650	0.000000	2075.000000	0.517422	0.000000
Os01g0117700	4.000000	1932.000000	0.565027	0.462074
Os01g0117900	24.000000	1503.000000	0.735777	2.736745
Os01g0118000	154.000000	1421.000000	0.773779	17.661905
Os01g0118033	15.000000	467.000000	1.354690	2.989940
Os01g0118066	156.000000	4110.000000	0.151602	31.572263
Os01g0118100	414.000000	2845.000000	0.322898	56.830328
Os01g0118300	1.000000	2931.000000	0.306452	0.140394
Os01g0118350	0.000000	1393.000000	0.787186	0.000000
Os01g0118400	25.000000	2109.000000	0.506712	2.950054
Os01g0118600	1.000000	1683.000000	0.658653	0.113759
Os01g0118700	72.000000	2087.000000	0.513616	8.470309
Os01g0119000	2.000000	1791.000000	0.616278	0.228500
Os01g0119050	1.000000	302.000000	1.451573	0.287662
Os01g0119100	2.000000	1746.000000	0.633594	0.227983
Os01g0119500	122.000000	1861.000000	0.590277	14.005072
Os01g0119800	0.000000	1446.000000	0.761995	0.000000
Os01g0120300	947.000000	2570.000000	0.381879	121.679868
Os01g0120400	105.000000	1215.000000	0.877756	12.415591
Os01g0120500	859.000000	987.000000	1.007852	108.894806
Os01g0120600	42.000000	1375.000000	0.795923	4.839532
Os01g0120700	691.000000	1869.000000	0.587377	79.374340
Os01g0120800	1310.000000	3540.000000	0.212326	219.781995
Os01g0121000	1.000000	831.000000	1.106074	0.137196
Os01g0121100	318.000000	1308.000000	0.829268	36.970252
Os01g0121200	0.000000	1401.000000	0.783333	0.000000
Os01g0121300	228.000000	2052.000000	0.524796	26.698977
Os01g0121400	154.000000	1963.000000	0.554346	17.846279
Os01g0121500	31.000000	632.000000	1.240621	4.985784
Os01g0121600	130.000000	754.000000	1.157098	18.790134
Os01g0121700	688.000000	2470.000000	0.405983	86.519011
Os01g0121800	82.000000	1808.000000	0.609860	9.378058
Os01g0121900	1.000000	891.000000	1.067440	0.132589
Os01g0121950	0.000000	1144.000000	0.916540	0.000000
Os01g0122000	26.000000	1541.000000	0.718789	2.960039
Os01g0122200	0.000000	1394.000000	0.786704	0.000000
Os01g0122367	0.000000	1009.000000	0.994595	0.000000
Os01g0122534	0.000000	876.000000	1.077001	0.000000
Os01g0122701	0.000000	306.000000	1.449833	0.000000
Os01g0123500	0.000000	935.000000	1.039782	0.000000
Os01g0123700	128.000000	909.000000	1.056055	16.814633
Os01g0123800	36.000000	1161.000000	0.907113	4.310593
Os01g0123900	9671.000000	858.000000	1.088561	1305.747920
Os01g0124000	6396.000000	910.000000	1.055426	839.783618
Os01g0124100	220.000000	930.000000	1.042895	28.604016
Os01g0124200	2413.000000	1059.000000	0.965024	297.749748
